scoreName,instrumentName,pageName,pageNo,barName,barNo,timeSigNum,timeSigDenom,tempoBpm,tempoBeatValue,beatNo,startTimeMillis,durationTimeMillis,endTimeMillis,startBaseBeatUnits,durationBeatUnits,endBaseBeatUnits,xStartPxl,xEndPxl,yStartPxl,yEndPxl,isUpbeat,resource,unitBeatNo
Dialogs,Present,page2,2,bar2,2,12,4,80,4,22,16500,750,17250,45,2,47,563,618,100,100,0,/Users/slavko/MyHome/Music/scoreExport/Dialogs/rsrc/Dialogs_Present_page2,45
Dialogs,Present,page2,2,bar2,2,12,4,80,4,23,17250,750,18000,47,2,49,618,673,100,100,0,/Users/slavko/MyHome/Music/scoreExport/Dialogs/rsrc/Dialogs_Present_page2,47
Dialogs,Present,page2,2,bar2,2,12,4,80,4,24,18000,750,18750,49,2,51,673,728,100,100,0,/Users/slavko/MyHome/Music/scoreExport/Dialogs/rsrc/Dialogs_Present_page2,49
Dialogs,Concur,page2,2,bar1,1,12,4,80,4,12,9000,750,9750,25,2,27,30,68,100,100,1,/Users/slavko/MyHome/Music/scoreExport/Dialogs/rsrc/Dialogs_Concur_page2,25
Dialogs,Concur,page2,2,bar2,2,12,4,80,4,13,9750,750,10500,27,2,29,68,123,100,100,0,/Users/slavko/MyHome/Music/scoreExport/Dialogs/rsrc/Dialogs_Concur_page2,27
Dialogs,Concur,page2,2,bar2,2,12,4,80,4,14,10500,750,11250,29,2,31,123,178,100,100,0,/Users/slavko/MyHome/Music/scoreExport/Dialogs/rsrc/Dialogs_Concur_page2,29
Dialogs,Concur,page2,2,bar2,2,12,4,80,4,15,11250,750,12000,31,2,33,178,233,100,100,0,/Users/slavko/MyHome/Music/scoreExport/Dialogs/rsrc/Dialogs_Concur_page2,31
Dialogs,Concur,page2,2,bar2,2,12,4,80,4,16,12000,750,12750,33,2,35,233,288,100,100,0,/Users/slavko/MyHome/Music/scoreExport/Dialogs/rsrc/Dialogs_Concur_page2,33
Dialogs,Concur,page2,2,bar2,2,12,4,80,4,17,12750,750,13500,35,2,37,288,343,100,100,0,/Users/slavko/MyHome/Music/scoreExport/Dialogs/rsrc/Dialogs_Concur_page2,35
Dialogs,Concur,page2,2,bar2,2,12,4,80,4,18,13500,750,14250,37,2,39,343,398,100,100,0,/Users/slavko/MyHome/Music/scoreExport/Dialogs/rsrc/Dialogs_Concur_page2,37
Dialogs,Concur,page2,2,bar2,2,12,4,80,4,19,14250,750,15000,39,2,41,398,453,100,100,0,/Users/slavko/MyHome/Music/scoreExport/Dialogs/rsrc/Dialogs_Concur_page2,39
Dialogs,Concur,page2,2,bar2,2,12,4,80,4,20,15000,750,15750,41,2,43,453,508,100,100,0,/Users/slavko/MyHome/Music/scoreExport/Dialogs/rsrc/Dialogs_Concur_page2,41
Dialogs,Concur,page2,2,bar2,2,12,4,80,4,21,15750,750,16500,43,2,45,508,563,100,100,0,/Users/slavko/MyHome/Music/scoreExport/Dialogs/rsrc/Dialogs_Concur_page2,43
Dialogs,Concur,page2,2,bar2,2,12,4,80,4,22,16500,750,17250,45,2,47,563,618,100,100,0,/Users/slavko/MyHome/Music/scoreExport/Dialogs/rsrc/Dialogs_Concur_page2,45
Dialogs,Concur,page2,2,bar2,2,12,4,80,4,23,17250,750,18000,47,2,49,618,673,100,100,0,/Users/slavko/MyHome/Music/scoreExport/Dialogs/rsrc/Dialogs_Concur_page2,47
Dialogs,Concur,page2,2,bar2,2,12,4,80,4,24,18000,750,18750,49,2,51,673,728,100,100,0,/Users/slavko/MyHome/Music/scoreExport/Dialogs/rsrc/Dialogs_Concur_page2,49
Dialogs,Dissent,page2,2,bar1,1,12,4,80,4,12,9000,750,9750,25,2,27,30,68,100,100,1,/Users/slavko/MyHome/Music/scoreExport/Dialogs/rsrc/Dialogs_Dissent_page2,25
Dialogs,Dissent,page2,2,bar2,2,12,4,80,4,13,9750,750,10500,27,2,29,68,123,100,100,0,/Users/slavko/MyHome/Music/scoreExport/Dialogs/rsrc/Dialogs_Dissent_page2,27
Dialogs,Dissent,page2,2,bar2,2,12,4,80,4,14,10500,750,11250,29,2,31,123,178,100,100,0,/Users/slavko/MyHome/Music/scoreExport/Dialogs/rsrc/Dialogs_Dissent_page2,29
Dialogs,Dissent,page2,2,bar2,2,12,4,80,4,15,11250,750,12000,31,2,33,178,233,100,100,0,/Users/slavko/MyHome/Music/scoreExport/Dialogs/rsrc/Dialogs_Dissent_page2,31
Dialogs,Dissent,page2,2,bar2,2,12,4,80,4,16,12000,750,12750,33,2,35,233,288,100,100,0,/Users/slavko/MyHome/Music/scoreExport/Dialogs/rsrc/Dialogs_Dissent_page2,33
Dialogs,Dissent,page2,2,bar2,2,12,4,80,4,17,12750,750,13500,35,2,37,288,343,100,100,0,/Users/slavko/MyHome/Music/scoreExport/Dialogs/rsrc/Dialogs_Dissent_page2,35
Dialogs,Dissent,page2,2,bar2,2,12,4,80,4,18,13500,750,14250,37,2,39,343,398,100,100,0,/Users/slavko/MyHome/Music/scoreExport/Dialogs/rsrc/Dialogs_Dissent_page2,37
Dialogs,Dissent,page2,2,bar2,2,12,4,80,4,19,14250,750,15000,39,2,41,398,453,100,100,0,/Users/slavko/MyHome/Music/scoreExport/Dialogs/rsrc/Dialogs_Dissent_page2,39
Dialogs,Dissent,page2,2,bar2,2,12,4,80,4,20,15000,750,15750,41,2,43,453,508,100,100,0,/Users/slavko/MyHome/Music/scoreExport/Dialogs/rsrc/Dialogs_Dissent_page2,41
Dialogs,Dissent,page2,2,bar2,2,12,4,80,4,21,15750,750,16500,43,2,45,508,563,100,100,0,/Users/slavko/MyHome/Music/scoreExport/Dialogs/rsrc/Dialogs_Dissent_page2,43
Dialogs,Dissent,page2,2,bar2,2,12,4,80,4,22,16500,750,17250,45,2,47,563,618,100,100,0,/Users/slavko/MyHome/Music/scoreExport/Dialogs/rsrc/Dialogs_Dissent_page2,45
Dialogs,Dissent,page2,2,bar2,2,12,4,80,4,23,17250,750,18000,47,2,49,618,673,100,100,0,/Users/slavko/MyHome/Music/scoreExport/Dialogs/rsrc/Dialogs_Dissent_page2,47
Dialogs,Dissent,page2,2,bar2,2,12,4,80,4,24,18000,750,18750,49,2,51,673,728,100,100,0,/Users/slavko/MyHome/Music/scoreExport/Dialogs/rsrc/Dialogs_Dissent_page2,49
Dialogs,AV,page2,2,bar1,1,12,4,80,4,12,9000,750,9750,25,2,27,30,68,100,100,1,/Users/slavko/MyHome/Music/scoreExport/Dialogs/rsrc/Dialogs_AV_page2,25
Dialogs,AV,page2,2,bar2,2,12,4,80,4,13,9750,750,10500,27,2,29,68,123,100,100,0,/Users/slavko/MyHome/Music/scoreExport/Dialogs/rsrc/Dialogs_AV_page2,27
Dialogs,AV,page2,2,bar2,2,12,4,80,4,14,10500,750,11250,29,2,31,123,178,100,100,0,/Users/slavko/MyHome/Music/scoreExport/Dialogs/rsrc/Dialogs_AV_page2,29
Dialogs,AV,page2,2,bar2,2,12,4,80,4,15,11250,750,12000,31,2,33,178,233,100,100,0,/Users/slavko/MyHome/Music/scoreExport/Dialogs/rsrc/Dialogs_AV_page2,31
Dialogs,AV,page2,2,bar2,2,12,4,80,4,16,12000,750,12750,33,2,35,233,288,100,100,0,/Users/slavko/MyHome/Music/scoreExport/Dialogs/rsrc/Dialogs_AV_page2,33
Dialogs,AV,page2,2,bar2,2,12,4,80,4,17,12750,750,13500,35,2,37,288,343,100,100,0,/Users/slavko/MyHome/Music/scoreExport/Dialogs/rsrc/Dialogs_AV_page2,35
Dialogs,AV,page2,2,bar2,2,12,4,80,4,18,13500,750,14250,37,2,39,343,398,100,100,0,/Users/slavko/MyHome/Music/scoreExport/Dialogs/rsrc/Dialogs_AV_page2,37
Dialogs,AV,page2,2,bar2,2,12,4,80,4,19,14250,750,15000,39,2,41,398,453,100,100,0,/Users/slavko/MyHome/Music/scoreExport/Dialogs/rsrc/Dialogs_AV_page2,39
Dialogs,AV,page2,2,bar2,2,12,4,80,4,20,15000,750,15750,41,2,43,453,508,100,100,0,/Users/slavko/MyHome/Music/scoreExport/Dialogs/rsrc/Dialogs_AV_page2,41
Dialogs,AV,page2,2,bar2,2,12,4,80,4,21,15750,750,16500,43,2,45,508,563,100,100,0,/Users/slavko/MyHome/Music/scoreExport/Dialogs/rsrc/Dialogs_AV_page2,43
Dialogs,AV,page2,2,bar2,2,12,4,80,4,22,16500,750,17250,45,2,47,563,618,100,100,0,/Users/slavko/MyHome/Music/scoreExport/Dialogs/rsrc/Dialogs_AV_page2,45
Dialogs,AV,page2,2,bar2,2,12,4,80,4,23,17250,750,18000,47,2,49,618,673,100,100,0,/Users/slavko/MyHome/Music/scoreExport/Dialogs/rsrc/Dialogs_AV_page2,47
